Date	Close	Open	High	Low	Volume	Chg%
Dec 26, 2016	27,241	27,170	27,280	27,101	3.07K	0.20%
Dec 23, 2016	27,186	27,126	27,220	27,072	6.30K	0.13%
Dec 22, 2016	27,152	27,077	27,293	26,980	11.29K	0.18%
Dec 21, 2016	27,103	27,282	27,336	27,081	9.46K	-0.58%
Dec 20, 2016	27,262	27,328	27,351	27,153	10.67K	-0.47%
Dec 19, 2016	27,392	27,400	27,420	27,289	7.23K	0.31%
Dec 16, 2016	27,308	27,140	27,414	27,101	13.48K	0.66%
Dec 15, 2016	27,130	27,730	27,730	27,021	18.56K	-2.22%
Dec 14, 2016	27,746	27,750	27,826	27,713	7.06K	0.13%
Dec 13, 2016	27,710	27,766	27,828	27,650	7.07K	-0.48%
Dec 12, 2016	27,843	27,670	27,927	27,551	8.95K	0.51%
Dec 09, 2016	27,701	27,845	27,885	27,671	8.95K	-0.70%
Dec 08, 2016	27,896	28,022	28,063	27,875	8.56K	-0.52%
Dec 07, 2016	28,043	27,944	28,134	27,924	9.90K	0.35%
Dec 06, 2016	27,944	28,151	28,192	27,911	8.66K	-1.03%
Dec 05, 2016	28,236	28,435	28,530	27,950	0.46K	-0.73%
Dec 02, 2016	28,445	28,310	28,450	28,300	0.82K	1.36%
Dec 01, 2016	28,062	28,450	28,450	27,951	2.10K	-1.29%
Nov 30, 2016	28,428	28,789	28,845	28,267	9.71K	-1.47%
Nov 29, 2016	28,853	28,763	28,896	28,680	7.06K	0.21%
Nov 28, 2016	28,793	28,980	29,068	28,700	8.36K	0.43%
Nov 25, 2016	28,671	28,701	28,750	28,331	13.01K	-0.50%
Nov 24, 2016	28,816	28,806	28,859	28,700	7.08K	-0.24%
Nov 23, 2016	28,885	29,241	29,254	28,767	10.85K	-1.02%
Nov 22, 2016	29,182	29,260	29,293	29,101	6.68K	-0.05%
Nov 21, 2016	29,197	29,039	29,295	29,009	7.82K	0.66%
Nov 18, 2016	29,005	29,170	29,170	28,838	11.52K	-0.62%
Nov 17, 2016	29,185	29,442	29,462	29,139	9.52K	-0.94%
Nov 16, 2016	29,463	29,519	29,590	29,387	8.17K	0.24%
Nov 15, 2016	29,391	29,640	29,650	29,270	10.54K	-0.96%
Nov 14, 2016	29,676	29,351	29,797	29,331	9.52K	0.73%
Nov 11, 2016	29,461	29,881	30,022	29,333	17.73K	-1.75%
Nov 10, 2016	29,986	30,000	30,243	29,868	15.67K	0.08%
Nov 09, 2016	29,961	30,191	31,407	29,900	42.74K	0.21%
Nov 08, 2016	29,899	30,149	30,400	29,766	19.27K	-0.73%
Nov 07, 2016	30,118	30,515	30,515	30,070	13.03K	-1.86%
Nov 04, 2016	30,689	30,566	30,770	30,550	0.15K	0.05%
Nov 03, 2016	30,674	30,663	30,700	30,300	0.33K	-0.28%
Nov 02, 2016	30,759	30,489	30,804	30,425	0.87K	1.42%
Nov 01, 2016	30,329	30,073	30,385	30,062	2.26K	0.90%
Oct 31, 2016	30,057	30,155	30,155	30,001	2.10K	-0.31%
Oct 30, 2016	30,151	30,120	30,160	30,113	0.94K	0.07%
